,first_level3,second_level3,first_level2,second_level2,level3,level2
113610_cam_survey_1_frame163.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame343.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
125355_forcadinho-np3_frame367.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A4
113610_cam_survey_1_frame2921.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A4
113610_cam_survey_1_frame532.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame1582.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame1631.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame599.jpg,A5.2,A3.1-A4.1,A5,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame376.jpg,A3.1-A4.1,A5.1,A3,A5,A3.7-A4.7,A3
132143_forcadinho-np3_frame1600.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame1630.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame132.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame1626.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame2941.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A4
132143_forcadinho-np3_frame1589.jpg,A5.1,A5.2,A5,A5,A3.7-A4.7,A3
132143_forcadinho-np3_frame1573.jpg,A5.2,A5.1,A5,A5,A3.7-A4.7,A3
113610_cam_survey_1_frame585.jpg,A5.2,A5.1,A5,A5,A3.7-A4.7,A3
113610_cam_survey_1_frame626.jpg,A5.2,A3.1-A4.1,A5,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame754.jpg,A5.2,A3.1-A4.1,A5,A3,A3.7-A4.7,A4
113610_cam_survey_1_frame378.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame362.jpg,A3.1-A4.1,A5.1,A3,A5,A3.7-A4.7,A3
113610_cam_survey_1_frame515.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
105317_cam-np3_frame1983.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A4
132143_forcadinho-np3_frame1572.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame619.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame500.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame2913.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame497.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame527.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame490.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame2938.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame133.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
