distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.05097700767523632,3,29,0,0,0,A3.7-A4.7
0.0065780578515595295,2,0,0,0,0,A3.1-A4.1
0.002910000449584964,1,0,0,0,0,A3.1-A4.1
0.002286015372839289,2,0,0,0,0,A3.1-A4.1
0.002286015372839289,2,0,0,0,0,A3.1-A4.1
0.05149556528908783,0,21,0,0,0,A3.7-A4.7
0.042815423311950804,15,0,0,0,0,A3.1-A4.1
0.07033366930542358,26,0,0,0,0,A3.1-A4.1
0.07277154791219481,25,0,0,0,0,A3.1-A4.1
0.09870545919206854,31,0,0,0,0,A3.1-A4.1
0.01871938362765184,8,0,0,0,0,A3.1-A4.1
0.022554257938169227,8,0,0,0,0,A3.1-A4.1
0.03770655741589872,11,1,0,0,0,A3.1-A4.1
0.035441133331420516,10,3,5,0,0,A3.1-A4.1
0.033388588311836845,8,2,2,0,0,A3.1-A4.1
0.03282492698566784,9,1,0,0,0,A3.1-A4.1
0.015846263752886846,4,0,0,1,0,A3.1-A4.1
0.13190658081531192,53,4,12,2,1,A3.1-A4.1
0.03604138727674511,13,1,0,1,0,A3.1-A4.1
0.03985536215586262,13,1,0,1,0,A3.1-A4.1
0.13190658081531192,53,4,12,2,1,A3.1-A4.1
0.16013988760202352,33,3,10,2,0,A3.1-A4.1
0.08124333144931596,21,1,5,0,0,A3.1-A4.1
0.013574625419000175,5,0,0,0,0,A3.1-A4.1
0.17790410925337075,39,11,4,0,0,A3.1-A4.1
0.11643423881707726,34,6,2,0,0,A3.1-A4.1
0.12617927802675893,34,6,2,0,0,A3.1-A4.1
0.06849008982623048,24,3,2,0,0,A3.1-A4.1
0.09739107353010479,24,3,2,0,0,A3.1-A4.1
0.00890001748622998,3,0,0,0,0,A3.1-A4.1
0.010244973626571894,3,0,0,0,0,A3.1-A4.1
0.15406649279289492,36,7,4,1,1,A3.1-A4.1
0.1295121231051083,40,8,7,1,1,A3.1-A4.1
0.026515240667323907,15,0,0,0,0,A3.1-A4.1
0.05341802637507507,0,17,0,0,0,A3.7-A4.7
0.04709881614445239,3,12,0,0,0,A3.7-A4.7
0.048754193751127835,3,29,0,0,0,A3.7-A4.7
0.048754193751127835,3,29,0,0,0,A3.7-A4.7
0.13716043279053391,0,57,0,0,0,A3.7-A4.7
0.05440477862915154,26,0,0,0,0,A3.1-A4.1
0.11985616617825193,0,57,0,0,0,A3.7-A4.7
0.039786764370124315,0,12,0,0,0,A3.7-A4.7
0.01690357466582569,0,5,0,0,0,A3.7-A4.7
0.06362941040337275,18,4,0,0,0,A3.1-A4.1
0.03843468593718846,11,1,0,0,0,A3.1-A4.1
0.0684007302411592,0,25,0,0,0,A3.7-A4.7
0.05157891433222438,0,18,0,0,0,A3.7-A4.7
0.04342787091357797,17,0,0,0,0,A3.1-A4.1
0.013437219512719385,4,0,0,0,0,A3.1-A4.1
0.07170088233680533,22,0,0,0,0,A3.1-A4.1
0.091676335829079,27,0,0,0,0,A3.1-A4.1
0.06106961930220468,1,20,0,0,0,A3.7-A4.7
0.07299506139326682,7,21,0,0,0,A3.7-A4.7
0.0600194747713446,29,1,0,0,0,A3.1-A4.1
0.08336879520748736,29,1,0,0,0,A3.1-A4.1
0.09801122576542083,36,0,0,0,0,A3.1-A4.1
0.018874452864237487,7,0,0,0,0,A3.1-A4.1
0.024880171589529015,8,0,0,0,0,A3.1-A4.1
0.2101012782960192,74,0,0,0,0,A3.1-A4.1
0.12433039380015216,36,0,0,0,0,A3.1-A4.1
0.15936030809473972,50,0,0,0,0,A3.1-A4.1
0.1447606621482734,37,6,2,1,0,A3.1-A4.1
0.08613533988671868,22,6,2,1,1,A3.1-A4.1
0.10689433968111887,36,0,0,0,0,A3.1-A4.1
0.10689433968111887,36,0,0,0,0,A3.1-A4.1
0.08139395623276725,34,0,1,0,0,A3.1-A4.1
0.06084360867192719,34,0,1,0,0,A3.1-A4.1
0.026907863211100367,7,1,0,0,0,A3.1-A4.1
0.018269399061234117,7,1,0,0,0,A3.1-A4.1
0.27416907125878787,77,12,0,0,0,A3.1-A4.1
0.20148956044458383,77,12,0,0,0,A3.1-A4.1
0.09142945325972755,20,5,2,1,0,A3.1-A4.1
0.16320490840611507,45,7,2,1,1,A3.1-A4.1
0.11812524943167471,16,3,6,12,0,A3.1-A4.1
0.1427577304870396,30,4,6,12,0,A3.1-A4.1
0.10326241795811815,31,0,0,0,0,A3.1-A4.1
0.0930622981333226,16,3,6,5,0,A3.1-A4.1
0.0930622981333226,16,3,6,5,0,A3.1-A4.1
0.0306549032506375,0,9,0,0,0,A3.7-A4.7
0.09849575286255861,27,4,6,12,0,A3.1-A4.1
0.09849575286255861,27,4,6,12,0,A3.1-A4.1
0.040098966935255186,12,0,0,0,0,A3.1-A4.1
0.07823969170281586,24,0,0,0,0,A3.1-A4.1
0.06870417089000387,22,0,0,0,0,A3.1-A4.1
0.06857036067243523,36,0,0,0,0,A3.1-A4.1
0.08537976527253956,28,0,0,0,0,A3.1-A4.1
0.0028297376068035216,1,0,0,0,0,A3.1-A4.1
0.11040756814441556,39,24,7,0,0,A3.1-A4.1
0.02237263164209453,3,1,1,0,0,A3.1-A4.1
0.0308994923637599,13,1,4,0,0,A3.1-A4.1
0.24634224437457813,49,10,11,1,2,A3.1-A4.1
0.07762625873588781,36,10,6,2,1,A3.1-A4.1
0.008746663194886959,2,0,0,0,0,A3.1-A4.1
0.09084873443457009,50,10,12,1,2,A3.1-A4.1
0.03307677780677821,4,3,0,0,0,A3.1-A4.1
0.03307677780677821,4,3,0,0,0,A3.1-A4.1
0.0724385730678619,23,0,0,0,0,A3.1-A4.1
0.12433420523341905,19,3,3,0,0,A3.1-A4.1
0.013670684906522675,4,0,0,0,0,A3.1-A4.1
0.10679913988694534,12,0,21,0,0,A5.1
0.15920025453402614,63,13,5,0,0,A3.1-A4.1
0.06631462141231603,9,1,4,2,0,A3.1-A4.1
0.07350331960133814,13,1,4,0,0,A3.1-A4.1
0.06631462141231603,9,1,4,2,0,A3.1-A4.1
0.13266728895073898,16,21,0,0,0,A3.7-A4.7
0.04105747486532698,13,1,4,0,0,A3.1-A4.1
0.1096598080076032,33,3,16,1,0,A3.1-A4.1
0.20000872286417248,36,9,14,2,1,A3.1-A4.1
0.13325936658816032,42,4,10,0,1,A3.1-A4.1
0.11827160889707591,12,0,14,0,0,A5.1
0.11827160889707591,12,0,14,0,0,A5.1
0.06850696821411126,16,0,0,0,0,A3.1-A4.1
